




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST008114reported.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	GCST008114reported.txt (2)	GCST008114reported.txt (expected)	GCST008114reported.txt (over/under)	GCST008114reported.txt (fold Enrichment)	GCST008114reported.txt (raw P-value)	GCST008114reported.txt (FDR)
negative regulation of intestinal cholesterol absorption (GO:0045796)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell volume (GO:0045795)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell volume (GO:0045794)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell size (GO:0045793)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell size (GO:0045792)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
multicellular organism aging (GO:0010259)	36	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction to self antigen (GO:0002649)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of central tolerance induction (GO:0002648)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex assembly (GO:0010257)	66	0	.01	-	 < 0.01	1.00E00	1.00E00
endomembrane system organization (GO:0010256)	423	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of central tolerance induction (GO:0002646)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose mediated signaling pathway (GO:0010255)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction (GO:0002645)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of tolerance induction (GO:0002644)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction (GO:0002643)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of immunoglobulin biosynthetic process (GO:0002642)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of immunoglobulin biosynthetic process (GO:0002640)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell cycle (GO:0045787)	386	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell adhesion (GO:0045785)	406	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of bone resorption (GO:0045780)	20	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of immunoglobulin production (GO:0002639)	42	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of transmembrane electrochemical gradient (GO:0010248)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of immunoglobulin production (GO:0002638)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of immunoglobulin production (GO:0002637)	64	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of germinal center formation (GO:0002636)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of germinal center formation (GO:0002635)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of germinal center formation (GO:0002634)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
response to organonitrogen compound (GO:0010243)	1005	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of bone resorption (GO:0045779)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of ossification (GO:0045778)	84	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood pressure (GO:0045777)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood pressure (GO:0045776)	49	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of axon extension (GO:0045773)	46	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell antigen processing and presentation (GO:0002626)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of T cell antigen processing and presentation (GO:0002625)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vascular transport (GO:0010232)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of B cell antigen processing and presentation (GO:0002622)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of asymmetric cell division (GO:0045769)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of angiogenesis (GO:0045766)	169	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of angiogenesis (GO:0045765)	293	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular amino acid metabolic process (GO:0045764)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular amino acid metabolic process (GO:0045763)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	36	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of action potential (GO:0045760)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage antigen processing and presentation (GO:0002617)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to lithium ion (GO:0010226)	23	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage antigen processing and presentation (GO:0002616)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to UV-C (GO:0010225)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
response to UV-B (GO:0010224)	18	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of action potential (GO:0045759)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of Toll signaling pathway (GO:0045751)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA methylation (GO:0010216)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendritic cell antigen processing and presentation (GO:0002605)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic cell antigen processing and presentation (GO:0002604)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
response to ionizing radiation (GO:0010212)	144	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hexokinase activity (GO:1903299)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903298)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903297)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of Notch signaling pathway (GO:0045747)	51	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutamate secretion, neurotransmission (GO:1903296)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of Notch signaling pathway (GO:0045746)	44	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of G protein-coupled receptor signaling pathway (GO:0045745)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate secretion, neurotransmission (GO:1903294)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	48	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibroblast growth factor receptor signaling pathway (GO:0045743)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to Golgi membrane (GO:1903292)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of epidermal growth factor-activated receptor activity (GO:0045741)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA replication (GO:0045740)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA repair (GO:0045739)	68	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion import across plasma membrane (GO:1903288)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA repair (GO:0045738)	34	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process to proline (GO:0019493)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	32	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion import (GO:1903286)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	29	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide catabolic process (GO:1903285)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutathione peroxidase activity (GO:1903284)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of glutathione peroxidase activity (GO:1903282)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein catabolic process (GO:0045732)	228	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium:sodium antiporter activity (GO:1903281)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium:sodium antiporter activity (GO:1903280)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
respiratory burst (GO:0045730)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
response to glucagon (GO:0033762)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
cerebral cortex radially oriented cell migration (GO:0021799)	31	0	.00	-	 < 0.01	1.00E00	1.00E00
forebrain dorsal/ventral pattern formation (GO:0021798)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
forebrain anterior/posterior pattern specification (GO:0021797)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cerebral cortex regionalization (GO:0021796)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cerebral cortex cell migration (GO:0021795)	46	0	.00	-	 < 0.01	1.00E00	1.00E00
thalamus development (GO:0021794)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
chemorepulsion of branchiomotor axon (GO:0021793)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of calcium:sodium antiporter activity (GO:1903279)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion export across plasma membrane (GO:1903278)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
respiratory burst after phagocytosis (GO:0045728)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-alanine biosynthetic process (GO:0019483)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation (GO:0045727)	133	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of sodium ion export across plasma membrane (GO:1903276)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-alanine metabolic process (GO:0019482)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of integrin biosynthetic process (GO:0045726)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-alanine catabolic process, by transamination (GO:0019481)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of glycogen biosynthetic process (GO:0045725)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cilium assembly (GO:0045724)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of fatty acid biosynthetic process (GO:0045723)	20	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of gluconeogenesis (GO:0045722)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of gluconeogenesis (GO:0045721)	18	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of integrin biosynthetic process (GO:0045720)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ribosome localization (GO:0033750)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
branchiomotor neuron axon guidance (GO:0021785)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
postganglionic parasympathetic fiber development (GO:0021784)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
preganglionic parasympathetic fiber development (GO:0021783)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
glial cell development (GO:0021782)	108	0	.01	-	 < 0.01	1.00E00	1.00E00
D-amino acid catabolic process (GO:0019478)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glial cell fate commitment (GO:0021781)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process (GO:0019477)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
glial cell fate specification (GO:0021780)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycogen biosynthetic process (GO:0045719)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process to acetyl-CoA (GO:0019474)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of fatty acid biosynthetic process (GO:0045717)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of low-density lipoprotein particle receptor biosynthetic process (GO:0045716)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
4-hydroxyproline metabolic process (GO:0019471)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of low-density lipoprotein particle receptor biosynthetic process (GO:0045715)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
4-hydroxyproline catabolic process (GO:0019470)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of low-density lipoprotein particle receptor biosynthetic process (GO:0045714)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle receptor biosynthetic process (GO:0045713)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oligodendrocyte cell fate commitment (GO:0021779)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
oligodendrocyte cell fate specification (GO:0021778)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification (GO:0021776)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
smoothened signaling pathway involved in ventral spinal cord interneuron specification (GO:0021775)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
striatal medium spiny neuron differentiation (GO:0021773)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
olfactory bulb development (GO:0021772)	33	0	.00	-	 < 0.01	1.00E00	1.00E00
lateral geniculate nucleus development (GO:0021771)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exon-exon junction complex disassembly (GO:1903259)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine decarboxylation via glycine cleavage system (GO:0019464)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
ectoderm and mesoderm interaction (GO:0007499)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mesoderm development (GO:0007498)	125	0	.01	-	 < 0.01	1.00E00	1.00E00
multi-ciliated epithelial cell differentiation (GO:1903251)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
posterior midgut development (GO:0007497)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
visceral mesoderm-endoderm interaction involved in midgut development (GO:0007495)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
midgut development (GO:0007494)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
endodermal cell fate determination (GO:0007493)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endoderm development (GO:0007492)	73	0	.01	-	 < 0.01	1.00E00	1.00E00
orbitofrontal cortex development (GO:0021769)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleus accumbens development (GO:0021768)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mammillary body development (GO:0021767)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hippocampus development (GO:0021766)	85	0	.01	-	 < 0.01	1.00E00	1.00E00
amygdala development (GO:0021764)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
substantia nigra development (GO:0021762)	46	0	.00	-	 < 0.01	1.00E00	1.00E00
limbic system development (GO:0021761)	112	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of citrulline biosynthetic process (GO:1903249)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of citrulline biosynthetic process (GO:1903248)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-cysteine catabolic process to taurine (GO:0019452)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle hypertrophy in response to stress (GO:1903244)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle hypertrophy in response to stress (GO:1903243)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
U2-type prespliceosome assembly (GO:1903241)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
globus pallidus development (GO:0021759)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
putamen development (GO:0021758)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
caudate nucleus development (GO:0021757)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pronephric duct morphogenesis (GO:0039023)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
striatum development (GO:0021756)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
pronephric duct development (GO:0039022)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
facial nucleus development (GO:0021754)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pronephric nephron tubule development (GO:0039020)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-cysteine catabolic process to hypotaurine (GO:0019449)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-cysteine catabolic process (GO:0019448)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
vestibular nucleus development (GO:0021750)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte tethering or rolling (GO:1903238)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte tethering or rolling (GO:1903237)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte tethering or rolling (GO:1903236)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process to acetyl-CoA (GO:0019442)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion-dependent exocytosis of neurotransmitter (GO:1903235)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process to kynurenine (GO:0019441)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion-dependent exocytosis of neurotransmitter (GO:1903233)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
melanosome assembly (GO:1903232)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
pronephric nephron development (GO:0039019)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
pattern specification involved in pronephros development (GO:0039017)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cochlear nucleus development (GO:0021747)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
aromatic compound catabolic process (GO:0019439)	440	0	.04	-	 < 0.01	1.00E00	1.00E00
aromatic compound biosynthetic process (GO:0019438)	1182	0	.11	-	 < 0.01	1.00E00	1.00E00
embryonic skeletal joint development (GO:0072498)	14	0	.00	-	 < 0.01	1.00E00	1.00E00
principal sensory nucleus of trigeminal nerve development (GO:0021740)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mesenchymal stem cell differentiation (GO:0072497)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
triglyceride catabolic process (GO:0019433)	23	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of endodermal cell differentiation (GO:1903225)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of endodermal cell differentiation (GO:1903224)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
removal of superoxide radicals (GO:0019430)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of oxidative stress-induced neuron death (GO:1903223)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of rhodopsin gene expression (GO:0007468)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA integration (GO:0015074)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
pronephric nephron tubule morphogenesis (GO:0039008)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pronephric nephron morphogenesis (GO:0039007)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipid efflux (GO:0033700)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
pronephric field specification (GO:0039003)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
midbrain-hindbrain boundary maturation (GO:0021732)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
allantoin biosynthetic process (GO:0019428)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ammonium transmembrane transport (GO:0072488)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process from acetate (GO:0019427)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
trigeminal sensory nucleus development (GO:0021730)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein processing involved in protein targeting to mitochondrion (GO:1903217)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein processing involved in protein targeting to mitochondrion (GO:1903216)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein targeting to mitochondrion (GO:1903215)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein targeting to mitochondrion (GO:1903214)	45	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of the force of heart contraction by chemical signal (GO:0003099)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
renal water transport (GO:0003097)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
renal sodium ion transport (GO:0003096)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
pressure natriuresis (GO:0003095)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glomerular filtration (GO:0003094)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of glomerular filtration (GO:0003093)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
renal water homeostasis (GO:0003091)	37	0	.00	-	 < 0.01	1.00E00	1.00E00
medullary reticular formation development (GO:0021723)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
superior olivary nucleus maturation (GO:0021722)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
