




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST005047mapped.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20996)	GCST005047mapped.txt (33)	GCST005047mapped.txt (expected)	GCST005047mapped.txt (over/under)	GCST005047mapped.txt (fold Enrichment)	GCST005047mapped.txt (raw P-value)	GCST005047mapped.txt (FDR)
N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity (GO:0050510)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
xenobiotic transmembrane transporter activity (GO:0042910)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate phosphatase activity (GO:0046030)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
smoothened binding (GO:0005119)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Tat protein binding (GO:0030957)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
receptor tyrosine kinase-like orphan receptor binding (GO:0005115)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
type II transforming growth factor beta receptor binding (GO:0005114)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity (GO:0050509)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
patched binding (GO:0005113)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity (GO:0050508)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Notch binding (GO:0005112)	26	0	.04	-	 < 0.01	1.00E00	1.00E00
type 2 fibroblast growth factor receptor binding (GO:0005111)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
hyaluronan synthase activity (GO:0050501)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
tubulin deacetylase activity (GO:0042903)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity (GO:0102420)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
frizzled binding (GO:0005109)	38	0	.06	-	 < 0.01	1.00E00	1.00E00
type 1 fibroblast growth factor receptor binding (GO:0005105)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrion targeting sequence binding (GO:0030943)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor receptor binding (GO:0005104)	26	0	.04	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum signal peptide binding (GO:0030942)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
5'-3' RNA polymerase activity (GO:0034062)	45	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA polymerase activity (GO:0034061)	44	0	.07	-	 < 0.01	1.00E00	1.00E00
neuropeptide receptor binding (GO:0071855)	35	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	59	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on diphenols and related substances as donors, cytochrome as acceptor (GO:0016681)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
estrogen response element binding (GO:0034056)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
benzoate-CoA ligase activity (GO:0018858)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on diphenols and related substances as donors (GO:0016679)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor (GO:0016676)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a heme group of donors (GO:0016675)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor (GO:0016672)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
poly(G) binding (GO:0034046)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled sterol transmembrane transporter activity (GO:0034041)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled lipid transmembrane transporter activity (GO:0034040)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
HMG box domain binding (GO:0071837)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	60	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor (GO:0016662)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP diphosphatase activity (GO:0036219)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
8-oxo-7,8-dihydroguanine DNA N-glycosylase activity (GO:0034039)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxyhypusine synthase activity (GO:0034038)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TPR domain binding (GO:0030911)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor (GO:0016657)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N-box binding (GO:0071820)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	60	0	.09	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor (GO:0016652)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	109	0	.17	-	 < 0.01	1.00E00	1.00E00
calcium-independent protein kinase C activity (GO:0004699)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein kinase C activity (GO:0004698)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase C activity (GO:0004697)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2alpha kinase activity (GO:0004694)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
cGMP-dependent protein kinase activity (GO:0004692)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase activity (GO:0004691)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
protein-lipid complex binding (GO:0071814)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
delta4-3-oxosteroid 5beta-reductase activity (GO:0047787)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle binding (GO:0071813)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor (GO:0016649)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor (GO:0016647)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
corticosterone 18-monooxygenase activity (GO:0047783)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors (GO:0016645)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor (GO:0016642)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase activity (GO:0004689)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin light chain kinase activity (GO:0004687)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
FAD-AMP lyase (cyclizing) activity (GO:0034012)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
elongation factor-2 kinase activity (GO:0004686)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calmodulin-dependent protein kinase activity (GO:0004683)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
(3S)-citramalyl-CoA lyase activity (GO:0047777)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor (GO:0016639)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3-hydroxyacyl-CoA dehydratase activity (GO:0018812)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor (GO:0016635)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
AMP-activated protein kinase activity (GO:0004679)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase activity (GO:0004677)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
3-phosphoinositide-dependent protein kinase activity (GO:0004676)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine kinase activity (GO:0004674)	446	0	.70	-	 < 0.01	1.00E00	1.00E00
protein histidine kinase activity (GO:0004673)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase activity (GO:0004672)	618	0	.97	-	 < 0.01	6.26E-01	1.00E00
protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity (GO:0004671)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	26	0	.04	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	61	0	.10	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor (GO:0016623)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
butyrate-CoA ligase activity (GO:0047760)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	37	0	.06	-	 < 0.01	1.00E00	1.00E00
protein-arginine deiminase activity (GO:0004668)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
prostaglandin-D synthase activity (GO:0004667)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
prostaglandin-endoperoxide synthase activity (GO:0004666)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Rab geranylgeranyltransferase activity (GO:0004663)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase activity (GO:0004662)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein geranylgeranyltransferase activity (GO:0004661)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase activity (GO:0004660)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
chondroitin-glucuronate 5-epimerase activity (GO:0047757)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chondroitin 4-sulfotransferase activity (GO:0047756)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxypyruvate reductase activity (GO:0016618)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	124	0	.19	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase activity (GO:0016615)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
preribosome binding (GO:1990275)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	133	0	.21	-	 < 0.01	1.00E00	1.00E00
cholestenone 5-alpha-reductase activity (GO:0047751)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cholestenol delta-isomerase activity (GO:0047750)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
anti-Mullerian hormone receptor activity (GO:1990272)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
HLH domain binding (GO:0043398)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan binding (GO:0043395)	17	0	.03	-	 < 0.01	1.00E00	1.00E00
proteoglycan binding (GO:0043394)	37	0	.06	-	 < 0.01	1.00E00	1.00E00
prenyltransferase activity (GO:0004659)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
propionyl-CoA carboxylase activity (GO:0004658)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
proline dehydrogenase activity (GO:0004657)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase activity (GO:0004656)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
porphobilinogen synthase activity (GO:0004655)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyribonucleotide nucleotidyltransferase activity (GO:0004654)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
polynucleotide adenylyltransferase activity (GO:0004652)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
polynucleotide 5'-phosphatase activity (GO:0004651)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cholestanetriol 26-monooxygenase activity (GO:0047749)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cholate-CoA ligase activity (GO:0047747)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II C-terminal domain phosphoserine binding (GO:1990269)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
growth hormone-releasing hormone activity (GO:0016608)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endopolyphosphatase activity (GO:0000298)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
chlordecone reductase activity (GO:0047743)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TRAIL binding (GO:0045569)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
adenine nucleotide transmembrane transporter activity (GO:0000295)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
glutaminyl-peptide cyclotransferase activity (GO:0016603)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ferric-chelate reductase activity (GO:0000293)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
poly(ADP-ribose) glycohydrolase activity (GO:0004649)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
O-phospho-L-serine:2-oxoglutarate aminotransferase activity (GO:0004648)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoserine phosphatase activity (GO:0004647)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphorylase activity (GO:0004645)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoribosylglycinamide formyltransferase activity (GO:0004644)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazolecarboxamide formyltransferase activity (GO:0004643)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine synthase activity (GO:0004642)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine cyclo-ligase activity (GO:0004641)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone-glutamine methyltransferase activity (GO:1990259)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CDP-glycerol diphosphatase activity (GO:0047734)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
magnesium ion binding (GO:0000287)	216	0	.34	-	 < 0.01	1.00E00	1.00E00
keratin filament binding (GO:1990254)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-3-phosphate 5-kinase activity (GO:0000285)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carnosine synthase activity (GO:0047730)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
geranylgeranyl reductase activity (GO:0045550)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity (GO:0004639)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazole carboxylase activity (GO:0004638)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylamine-glycine ligase activity (GO:0004637)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase activity (GO:0004634)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphopantothenoylcysteine decarboxylase activity (GO:0004633)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopantothenate--cysteine ligase activity (GO:0004632)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphomevalonate kinase activity (GO:0004631)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase D activity (GO:0004630)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA strand annealing activity (GO:0033592)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
iron-cytochrome-c reductase activity (GO:0047726)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N6-methyladenosine-containing RNA binding (GO:1990247)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (H2A-T120 specific) (GO:1990244)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase activity (GO:0045547)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
syndecan binding (GO:0045545)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipase C activity (GO:0004629)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 activity (GO:0004623)	34	0	.05	-	 < 0.01	1.00E00	1.00E00
lysophospholipase activity (GO:0004622)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol phospholipase D activity (GO:0004621)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase activity (GO:0004620)	104	0	.16	-	 < 0.01	1.00E00	1.00E00
indanol dehydrogenase activity (GO:0047718)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid hormone binding (GO:1990239)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA endodeoxyribonuclease activity (GO:1990238)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
galactolipase activity (GO:0047714)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxisome targeting sequence binding (GO:0000268)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-triphosphatase activity (GO:0047710)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 21 binding (GO:0035758)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 19 binding (GO:0035757)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate mutase activity (GO:0004619)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate kinase activity (GO:0004618)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiolipin hydrolase activity (GO:0035755)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate dehydrogenase activity (GO:0004617)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphomannomutase activity (GO:0004615)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoglucomutase activity (GO:0004614)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase (GTP) activity (GO:0004613)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase activity (GO:0004611)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoacetylglucosamine mutase activity (GO:0004610)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
biotinidase activity (GO:0047708)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
bile-salt sulfotransferase activity (GO:0047704)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase binding (GO:1990226)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrilase activity (GO:0000257)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C-4 methylsterol oxidase activity (GO:0000254)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
3-keto sterol reductase activity (GO:0000253)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity (GO:0000252)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-27 receptor binding (GO:0045523)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lanosterol synthase activity (GO:0000250)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine decarboxylase activity (GO:0004609)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine N-methyltransferase activity (GO:0004608)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine-sterol O-acyltransferase activity (GO:0004607)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidate cytidylyltransferase activity (GO:0004605)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phenylethanolamine N-methyltransferase activity (GO:0004603)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione peroxidase activity (GO:0004602)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
peroxidase activity (GO:0004601)	55	0	.09	-	 < 0.01	1.00E00	1.00E00
C-22 sterol desaturase activity (GO:0000249)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tag (GO:0031386)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
C-5 sterol desaturase activity (GO:0000248)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
C-8 sterol isomerase activity (GO:0000247)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-23 receptor binding (GO:0045519)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
delta24(24-1) sterol reductase activity (GO:0000246)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-22 receptor binding (GO:0045518)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-20 receptor binding (GO:0045517)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-18 receptor binding (GO:0045515)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-27 binding (GO:0045513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol-phosphatidylglycerol phosphatidyltransferase activity (GO:0043337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity (GO:0043333)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein deacetylase activity (GO:0033558)	30	0	.05	-	 < 0.01	1.00E00	1.00E00
dinitrosyl-iron complex binding (GO:0035731)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
S-nitrosoglutathione binding (GO:0035730)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-27 receptor activity (GO:0045509)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor 4G binding (GO:0031370)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dynein intermediate chain binding (GO:0045505)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
dynein heavy chain binding (GO:0045504)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
dynein light chain binding (GO:0045503)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	30	0	.05	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid binding (GO:0035727)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
MAP kinase phosphatase activity (GO:0033549)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosaminylphosphatidylinositol deacetylase activity (GO:0000225)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity (GO:0000224)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor binding (GO:0035718)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 7 binding (GO:0035717)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 12 binding (GO:0035716)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 2 binding (GO:0035715)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
delta-catenin binding (GO:0070097)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose-6-phosphate binding (GO:0070095)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA secondary structure binding (GO:0000217)	24	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA 2'-phosphotransferase activity (GO:0000215)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
