




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	Reactome version 65 Released 2019-03-12
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
Reactome pathways	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
ABC transporter disorders (R-HSA-5619084)	76	1	.40	+	2.51	3.32E-01	1.00E00
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins (R-HSA-176814)	76	1	.40	+	2.51	3.32E-01	1.00E00
ER to Golgi Anterograde Transport (R-HSA-199977)	154	2	.81	+	2.48	1.95E-01	1.00E00
Antigen processing: Ubiquitination & Proteasome degradation (R-HSA-983168)	309	4	1.62	+	2.47	8.12E-02	1.00E00
The role of GTSE1 in G2/M progression after G2 checkpoint (R-HSA-8852276)	78	1	.41	+	2.45	3.39E-01	1.00E00
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein (R-HSA-446193)	78	1	.41	+	2.45	3.39E-01	1.00E00
Regulation of APC/C activators between G1/S and early anaphase (R-HSA-176408)	80	1	.42	+	2.39	3.46E-01	1.00E00
Regulation of insulin secretion (R-HSA-422356)	80	1	.42	+	2.39	3.46E-01	1.00E00
SLC-mediated transmembrane transport (R-HSA-425407)	243	3	1.27	+	2.36	1.37E-01	1.00E00
Signaling by NOTCH4 (R-HSA-9013694)	81	1	.42	+	2.36	3.49E-01	1.00E00
Transcriptional regulation of white adipocyte differentiation (R-HSA-381340)	83	1	.43	+	2.30	3.56E-01	1.00E00
Cyclin E associated events during G1/S transition  (R-HSA-69202)	83	1	.43	+	2.30	3.56E-01	1.00E00
PI Metabolism (R-HSA-1483255)	84	1	.44	+	2.27	3.59E-01	1.00E00
Integrin cell surface interactions (R-HSA-216083)	84	1	.44	+	2.27	3.59E-01	1.00E00
ER-Phagosome pathway (R-HSA-1236974)	84	1	.44	+	2.27	3.59E-01	1.00E00
Metabolism of polyamines (R-HSA-351202)	84	1	.44	+	2.27	3.59E-01	1.00E00
DNA Replication Pre-Initiation (R-HSA-69002)	85	1	.45	+	2.25	3.63E-01	1.00E00
Cyclin A:Cdk2-associated events at S phase entry (R-HSA-69656)	85	1	.45	+	2.25	3.63E-01	1.00E00
M/G1 Transition (R-HSA-68874)	85	1	.45	+	2.25	3.63E-01	1.00E00
Hedgehog 'on' state (R-HSA-5632684)	85	1	.45	+	2.25	3.63E-01	1.00E00
Regulation of mRNA stability by proteins that bind AU-rich elements (R-HSA-450531)	86	1	.45	+	2.22	3.66E-01	1.00E00
APC/C-mediated degradation of cell cycle proteins (R-HSA-174143)	86	1	.45	+	2.22	3.66E-01	1.00E00
Regulation of mitotic cell cycle (R-HSA-453276)	86	1	.45	+	2.22	3.66E-01	1.00E00
Metabolism of carbohydrates (R-HSA-71387)	266	3	1.39	+	2.15	1.66E-01	1.00E00
Viral mRNA Translation (R-HSA-192823)	89	1	.47	+	2.14	3.76E-01	1.00E00
MAPK6/MAPK4 signaling (R-HSA-5687128)	89	1	.47	+	2.14	3.76E-01	1.00E00
FCERI mediated Ca+2 mobilization (R-HSA-2871809)	89	1	.47	+	2.14	3.76E-01	1.00E00
Switching of origins to a post-replicative state (R-HSA-69052)	90	1	.47	+	2.12	3.79E-01	1.00E00
GPCR ligand binding (R-HSA-500792)	454	5	2.38	+	2.10	9.22E-02	1.00E00
PCP/CE pathway (R-HSA-4086400)	92	1	.48	+	2.07	3.86E-01	1.00E00
Transport to the Golgi and subsequent modification (R-HSA-948021)	185	2	.97	+	2.06	2.55E-01	1.00E00
Peptide ligand-binding receptors (R-HSA-375276)	186	2	.97	+	2.05	2.57E-01	1.00E00
Post-translational modification: synthesis of GPI-anchored proteins (R-HSA-163125)	93	1	.49	+	2.05	3.89E-01	1.00E00
Class I MHC mediated antigen processing & presentation (R-HSA-983169)	372	4	1.95	+	2.05	1.34E-01	1.00E00
Deubiquitination (R-HSA-5688426)	282	3	1.48	+	2.03	1.86E-01	1.00E00
Developmental Biology (R-HSA-1266738)	1038	11	5.44	+	2.02	2.45E-02	1.00E00
UCH proteinases (R-HSA-5689603)	96	1	.50	+	1.99	3.98E-01	1.00E00
Cellular responses to stress (R-HSA-2262752)	393	4	2.06	+	1.94	1.53E-01	1.00E00
RUNX1 regulates transcription of genes involved in differentiation of HSCs (R-HSA-8939236)	99	1	.52	+	1.93	4.08E-01	1.00E00
Antigen processing-Cross presentation (R-HSA-1236975)	100	1	.52	+	1.91	4.11E-01	1.00E00
Downstream TCR signaling (R-HSA-202424)	100	1	.52	+	1.91	4.11E-01	1.00E00
TNFR2 non-canonical NF-kB pathway (R-HSA-5668541)	100	1	.52	+	1.91	4.11E-01	1.00E00
Signaling by NOTCH (R-HSA-157118)	201	2	1.05	+	1.90	2.86E-01	1.00E00
Signaling by TGF-beta family members (R-HSA-9006936)	101	1	.53	+	1.89	4.14E-01	1.00E00
Interleukin-1 signaling (R-HSA-9020702)	101	1	.53	+	1.89	4.14E-01	1.00E00
Asparagine N-linked glycosylation (R-HSA-446203)	304	3	1.59	+	1.88	2.16E-01	1.00E00
tRNA processing (R-HSA-72306)	102	1	.53	+	1.87	4.17E-01	1.00E00
Disease (R-HSA-1643685)	1023	10	5.36	+	1.87	6.96E-02	1.00E00
Signal Transduction (R-HSA-162582)	2667	26	13.97	+	1.86	1.46E-03	3.99E-01
ABC-family proteins mediated transport (R-HSA-382556)	103	1	.54	+	1.85	4.20E-01	1.00E00
Transport of inorganic cations/anions and amino acids/oligopeptides (R-HSA-425393)	105	1	.55	+	1.82	4.26E-01	1.00E00
Phospholipid metabolism (R-HSA-1483257)	212	2	1.11	+	1.80	3.07E-01	1.00E00
Post-translational protein phosphorylation (R-HSA-8957275)	107	1	.56	+	1.78	4.32E-01	1.00E00
Signaling by Receptor Tyrosine Kinases (R-HSA-9006934)	440	4	2.31	+	1.74	2.97E-01	1.00E00
Interleukin-4 and Interleukin-13 signaling (R-HSA-6785807)	111	1	.58	+	1.72	4.44E-01	1.00E00
Hemostasis (R-HSA-109582)	671	6	3.52	+	1.71	1.70E-01	1.00E00
Hedgehog 'off' state (R-HSA-5610787)	112	1	.59	+	1.70	4.47E-01	1.00E00
SRP-dependent cotranslational protein targeting to membrane (R-HSA-1799339)	112	1	.59	+	1.70	4.47E-01	1.00E00
PPARA activates gene expression (R-HSA-1989781)	114	1	.60	+	1.67	4.53E-01	1.00E00
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) (R-HSA-400206)	115	1	.60	+	1.66	4.55E-01	1.00E00
Adaptive Immune System (R-HSA-1280218)	818	7	4.29	+	1.63	2.07E-01	1.00E00
Neddylation (R-HSA-8951664)	234	2	1.23	+	1.63	3.49E-01	1.00E00
Cellular responses to external stimuli (R-HSA-8953897)	470	4	2.46	+	1.62	3.16E-01	1.00E00
Transcriptional regulation by RUNX2 (R-HSA-8878166)	118	1	.62	+	1.62	4.64E-01	1.00E00
Synthesis of DNA (R-HSA-69239)	119	1	.62	+	1.60	4.67E-01	1.00E00
Metabolism of water-soluble vitamins and cofactors (R-HSA-196849)	120	1	.63	+	1.59	4.70E-01	1.00E00
Neuronal System (R-HSA-112316)	361	3	1.89	+	1.59	4.42E-01	1.00E00
TCR signaling (R-HSA-202403)	121	1	.63	+	1.58	4.72E-01	1.00E00
Host Interactions of HIV factors (R-HSA-162909)	125	1	.65	+	1.53	4.83E-01	1.00E00
GPCR downstream signalling (R-HSA-388396)	1138	9	5.96	+	1.51	2.02E-01	1.00E00
DNA Replication (R-HSA-69306)	127	1	.67	+	1.50	4.89E-01	1.00E00
Platelet degranulation  (R-HSA-114608)	127	1	.67	+	1.50	4.89E-01	1.00E00
Glycerophospholipid biosynthesis (R-HSA-1483206)	129	1	.68	+	1.48	4.94E-01	1.00E00
G alpha (i) signalling events (R-HSA-418594)	392	3	2.05	+	1.46	4.64E-01	1.00E00
G1/S Transition (R-HSA-69206)	131	1	.69	+	1.46	4.99E-01	1.00E00
Influenza Viral RNA Transcription and Replication (R-HSA-168273)	131	1	.69	+	1.46	4.99E-01	1.00E00
Response to elevated platelet cytosolic Ca2+ (R-HSA-76005)	132	1	.69	+	1.45	5.02E-01	1.00E00
Signaling by GPCR (R-HSA-372790)	1198	9	6.28	+	1.43	2.97E-01	1.00E00
Generic Transcription Pathway (R-HSA-212436)	1094	8	5.73	+	1.40	2.85E-01	1.00E00
Interleukin-1 family signaling (R-HSA-446652)	137	1	.72	+	1.39	5.15E-01	1.00E00
Metabolism of proteins (R-HSA-392499)	2078	15	10.89	+	1.38	1.99E-01	1.00E00
Post-translational protein modification (R-HSA-597592)	1390	10	7.28	+	1.37	3.32E-01	1.00E00
Rho GTPase cycle (R-HSA-194840)	140	1	.73	+	1.36	5.23E-01	1.00E00
Influenza Life Cycle (R-HSA-168255)	140	1	.73	+	1.36	5.23E-01	1.00E00
Transport of small molecules (R-HSA-382551)	716	5	3.75	+	1.33	4.29E-01	1.00E00
DNA Repair (R-HSA-73894)	293	2	1.54	+	1.30	6.68E-01	1.00E00
Signaling by Hedgehog (R-HSA-5358351)	148	1	.78	+	1.29	5.42E-01	1.00E00
Signaling by Interleukins (R-HSA-449147)	449	3	2.35	+	1.28	5.12E-01	1.00E00
G2/M Checkpoints (R-HSA-69481)	151	1	.79	+	1.26	5.49E-01	1.00E00
Influenza Infection (R-HSA-168254)	151	1	.79	+	1.26	5.49E-01	1.00E00
RNA Polymerase II Transcription (R-HSA-73857)	1216	8	6.37	+	1.26	5.35E-01	1.00E00
SUMO E3 ligases SUMOylate target proteins (R-HSA-3108232)	156	1	.82	+	1.22	5.61E-01	1.00E00
Class A/1 (Rhodopsin-like receptors) (R-HSA-373076)	321	2	1.68	+	1.19	6.86E-01	1.00E00
S Phase (R-HSA-69242)	161	1	.84	+	1.19	5.72E-01	1.00E00
SUMOylation (R-HSA-2990846)	162	1	.85	+	1.18	5.75E-01	1.00E00
Cell Cycle, Mitotic (R-HSA-69278)	495	3	2.59	+	1.16	7.46E-01	1.00E00
Apoptosis (R-HSA-109581)	165	1	.86	+	1.16	5.81E-01	1.00E00
Programmed Cell Death (R-HSA-5357801)	168	1	.88	+	1.14	5.88E-01	1.00E00
Gene expression (Transcription) (R-HSA-74160)	1351	8	7.08	+	1.13	6.95E-01	1.00E00
Regulation of expression of SLITs and ROBOs (R-HSA-9010553)	170	1	.89	+	1.12	5.92E-01	1.00E00
Fatty acid metabolism (R-HSA-8978868)	174	1	.91	+	1.10	6.01E-01	1.00E00
Metabolism of lipids (R-HSA-556833)	731	4	3.83	+	1.04	7.94E-01	1.00E00
Ion channel transport (R-HSA-983712)	183	1	.96	+	1.04	6.19E-01	1.00E00
Axon guidance (R-HSA-422475)	550	3	2.88	+	1.04	7.66E-01	1.00E00
Infectious disease (R-HSA-5663205)	370	2	1.94	+	1.03	7.21E-01	1.00E00
Metabolism of vitamins and cofactors (R-HSA-196854)	186	1	.97	+	1.03	6.25E-01	1.00E00
Separation of Sister Chromatids (R-HSA-2467813)	186	1	.97	+	1.03	6.25E-01	1.00E00
Metabolism (R-HSA-1430728)	2061	11	10.80	+	1.02	8.73E-01	1.00E00
G alpha (s) signalling events (R-HSA-418555)	575	3	3.01	-	1.00	1.00E00	1.00E00
Mitotic Anaphase (R-HSA-68882)	194	1	1.02	-	.98	1.00E00	1.00E00
Mitotic Metaphase and Anaphase (R-HSA-2555396)	195	1	1.02	-	.98	1.00E00	1.00E00
G2/M Transition (R-HSA-69275)	195	1	1.02	-	.98	1.00E00	1.00E00
Mitotic G2-G2/M phases (R-HSA-453274)	197	1	1.03	-	.97	1.00E00	1.00E00
Cell surface interactions at the vascular wall (R-HSA-202733)	198	1	1.04	-	.96	1.00E00	1.00E00
Cell Cycle (R-HSA-1640170)	600	3	3.14	-	.95	1.00E00	1.00E00
Intra-Golgi and retrograde Golgi-to-ER traffic (R-HSA-6811442)	202	1	1.06	-	.94	1.00E00	1.00E00
Signaling by Rho GTPases (R-HSA-194315)	408	2	2.14	-	.94	1.00E00	1.00E00
Membrane Trafficking (R-HSA-199991)	621	3	3.25	-	.92	1.00E00	1.00E00
Signaling by ROBO receptors (R-HSA-376176)	216	1	1.13	-	.88	1.00E00	1.00E00
Transmission across Chemical Synapses (R-HSA-112315)	218	1	1.14	-	.88	1.00E00	1.00E00
Metabolism of RNA (R-HSA-8953854)	660	3	3.46	-	.87	1.00E00	1.00E00
Cytokine Signaling in Immune system (R-HSA-1280215)	669	3	3.50	-	.86	1.00E00	1.00E00
HIV Infection (R-HSA-162906)	228	1	1.19	-	.84	1.00E00	1.00E00
Vesicle-mediated transport (R-HSA-5653656)	720	3	3.77	-	.80	1.00E00	1.00E00
Immune System (R-HSA-168256)	2035	8	10.66	-	.75	5.16E-01	1.00E00
Cell Cycle Checkpoints (R-HSA-69620)	271	1	1.42	-	.70	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	10452	38	54.76	-	.69	1.52E-03	3.34E-01
RHO GTPase Effectors (R-HSA-195258)	278	1	1.46	-	.69	1.00E00	1.00E00
Translation (R-HSA-72766)	293	1	1.54	-	.65	1.00E00	1.00E00
Extracellular matrix organization (R-HSA-1474244)	299	1	1.57	-	.64	1.00E00	1.00E00
M Phase (R-HSA-68886)	353	1	1.85	-	.54	1.00E00	1.00E00
Metabolism of amino acids and derivatives (R-HSA-71291)	365	1	1.91	-	.52	1.00E00	1.00E00
Innate Immune System (R-HSA-168249)	1102	3	5.77	-	.52	3.85E-01	1.00E00
Neutrophil degranulation (R-HSA-6798695)	479	1	2.51	-	.40	5.24E-01	1.00E00
PI-3K cascade:FGFR1 (R-HSA-5654689)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
SHC-mediated cascade:FGFR1 (R-HSA-5654688)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Downstream signaling of activated FGFR1 (R-HSA-5654687)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Uptake and function of diphtheria toxin (R-HSA-5336415)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Mitochondrial translation elongation (R-HSA-5389840)	88	0	.46	-	 < 0.01	1.00E00	1.00E00
APC truncation mutants have impaired AXIN binding (R-HSA-5467337)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
MyD88:Mal cascade initiated on plasma membrane (R-HSA-166058)	94	0	.49	-	 < 0.01	1.00E00	1.00E00
APC truncation mutants are not K63 polyubiquitinated (R-HSA-5467333)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Branched-chain amino acid catabolism (R-HSA-70895)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Formation of the Editosome (R-HSA-75094)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
GTP hydrolysis and joining of the 60S ribosomal subunit (R-HSA-72706)	112	0	.59	-	 < 0.01	1.00E00	1.00E00
Peptide hormone biosynthesis (R-HSA-209952)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
MAP kinase activation (R-HSA-450294)	63	0	.33	-	 < 0.01	1.00E00	1.00E00
Ribosomal scanning and start codon recognition (R-HSA-72702)	58	0	.30	-	 < 0.01	1.00E00	1.00E00
Defective ABCC2 causes Dubin-Johnson syndrome (R-HSA-5679001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Detoxification of Reactive Oxygen Species (R-HSA-3299685)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
Alpha-oxidation of phytanate (R-HSA-389599)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Activated NTRK2 signals through FYN (R-HSA-9032500)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Diseases of Mismatch Repair (MMR) (R-HSA-5423599)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of aspirin-triggered D-series resolvins (R-HSA-9020265)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Platelet calcium homeostasis (R-HSA-418360)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
DAG and IP3 signaling (R-HSA-1489509)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Noncanonical activation of NOTCH3 (R-HSA-9017802)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Intracellular oxygen transport (R-HSA-8981607)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Anchoring fibril formation (R-HSA-2214320)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Recruitment of NuMA to mitotic centrosomes (R-HSA-380320)	93	0	.49	-	 < 0.01	1.00E00	1.00E00
Free fatty acid receptors (R-HSA-444209)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
MAPK targets/ Nuclear events mediated by MAP kinases (R-HSA-450282)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
p75NTR regulates axonogenesis (R-HSA-193697)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Golgi-to-ER retrograde transport (R-HSA-8856688)	134	0	.70	-	 < 0.01	1.00E00	1.00E00
MyD88 deficiency (TLR5) (R-HSA-5602680)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
GRB7 events in ERBB2 signaling (R-HSA-1306955)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Transport of Mature mRNA derived from an Intron-Containing Transcript (R-HSA-159236)	70	0	.37	-	 < 0.01	1.00E00	1.00E00
Reduction of cytosolic Ca++ levels (R-HSA-418359)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Regulated proteolysis of p75NTR (R-HSA-193692)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Transport of Mature mRNAs Derived from Intronless Transcripts (R-HSA-159234)	39	0	.20	-	 < 0.01	1.00E00	1.00E00
Transport of Mature mRNA Derived from an Intronless Transcript (R-HSA-159231)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
Transport of the SLBP Dependant Mature mRNA (R-HSA-159230)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Diseases of Immune System (R-HSA-5260271)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Severe congenital neutropenia type 4 (G6PC3) (R-HSA-3282872)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Depolymerisation of the Nuclear Lamina (R-HSA-4419969)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Antiviral mechanism by IFN-stimulated genes (R-HSA-1169410)	70	0	.37	-	 < 0.01	1.00E00	1.00E00
Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A) (R-HSA-5619114)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA Editing (R-HSA-75072)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Defective SLC3A1 causes cystinuria (CSNU) (R-HSA-5619113)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1) (R-HSA-5619111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR) (R-HSA-5619110)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Serotonin and melatonin biosynthesis (R-HSA-209931)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
HSF1 activation (R-HSA-3371511)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Zinc influx into cells by the SLC39 gene family (R-HSA-442380)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
The activation of arylsulfatases (R-HSA-1663150)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Transport of the SLBP independent Mature mRNA (R-HSA-159227)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Advanced glycosylation endproduct receptor signaling (R-HSA-879415)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Activated NTRK2 signals through CDK5 (R-HSA-9032845)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Ceramide signalling (R-HSA-193681)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Cell junction organization (R-HSA-446728)	91	0	.48	-	 < 0.01	1.00E00	1.00E00
Platelet homeostasis (R-HSA-418346)	88	0	.46	-	 < 0.01	1.00E00	1.00E00
Transport of fatty acids (R-HSA-804914)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
ISG15 antiviral mechanism (R-HSA-1169408)	70	0	.37	-	 < 0.01	1.00E00	1.00E00
Activation of GABAB receptors (R-HSA-991365)	39	0	.20	-	 < 0.01	1.00E00	1.00E00
Olfactory Signaling Pathway (R-HSA-381753)	432	0	2.26	-	 < 0.01	1.78E-01	1.00E00
Defective SLC6A2 causes orthostatic intolerance (OI) (R-HSA-5619109)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Processing of Capped Intronless Pre-mRNA (R-HSA-75067)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS) (R-HSA-5619108)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA Editing: A to I Conversion (R-HSA-75064)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Autointegration results in viral DNA circles (R-HSA-177539)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Negative regulation of TCF-dependent signaling by DVL-interacting proteins (R-HSA-5368598)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective SLC12A1 causes Bartter syndrome 1 (BS1) (R-HSA-5619104)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective DPM1 causes DPM1-CDG (CDG-1e) (R-HSA-4717374)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Collagen degradation (R-HSA-1442490)	64	0	.34	-	 < 0.01	1.00E00	1.00E00
Acetylcholine regulates insulin secretion (R-HSA-399997)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG) (R-HSA-5619101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
PAOs oxidise polyamines to amines (R-HSA-141334)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Transfer of LPS from LBP carrier to CD14 (R-HSA-166020)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB (R-HSA-141333)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Processing of Intronless Pre-mRNAs (R-HSA-77595)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Reactions specific to the complex N-glycan synthesis pathway (R-HSA-975578)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
N-Glycan antennae elongation (R-HSA-975577)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Free fatty acids regulate insulin secretion (R-HSA-400451)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
N-glycan antennae elongation in the medial/trans-Golgi (R-HSA-975576)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Reactions specific to the hybrid N-glycan synthesis pathway (R-HSA-975574)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
p75NTR negatively regulates cell cycle via SC1 (R-HSA-193670)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM) (R-HSA-5687583)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
The citric acid (TCA) cycle and respiratory electron transport (R-HSA-1428517)	173	0	.91	-	 < 0.01	1.00E00	1.00E00
Vasopressin-like receptors (R-HSA-388479)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Interleukin-12 signaling (R-HSA-9020591)	47	0	.25	-	 < 0.01	1.00E00	1.00E00
TAK1 activates NFkB by phosphorylation and activation of IKKs complex (R-HSA-445989)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Toll Like Receptor 4 (TLR4) Cascade (R-HSA-166016)	127	0	.67	-	 < 0.01	1.00E00	1.00E00
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs (R-HSA-77588)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
ROS, RNS production in phagocytes (R-HSA-1222556)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
MET activates PTPN11 (R-HSA-8865999)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
O2/CO2 exchange in erythrocytes (R-HSA-1480926)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Opsins (R-HSA-419771)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Catecholamine biosynthesis (R-HSA-209905)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcribes snRNA genes (R-HSA-6807505)	74	0	.39	-	 < 0.01	1.00E00	1.00E00
Lysosphingolipid and LPA receptors (R-HSA-419408)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Toll-Like Receptors Cascades (R-HSA-168898)	152	0	.80	-	 < 0.01	1.00E00	1.00E00
Antimicrobial peptides (R-HSA-6803157)	90	0	.47	-	 < 0.01	1.00E00	1.00E00
Sodium-coupled phosphate cotransporters (R-HSA-427652)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Lysosomal oligosaccharide catabolism (R-HSA-8853383)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
NADPH regeneration (R-HSA-389542)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Activation of kainate receptors upon glutamate binding (R-HSA-451326)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
G-protein beta:gamma signalling (R-HSA-397795)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex (R-HSA-75035)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
RORA activates gene expression (R-HSA-1368082)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Lactose synthesis (R-HSA-5653890)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ATF4 activates genes (R-HSA-380994)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Retrograde neurotrophin signalling (R-HSA-177504)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
IKBKB deficiency causes SCID (R-HSA-5602636)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
The IPAF inflammasome (R-HSA-844623)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
DAP12 signaling (R-HSA-2424491)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
NRAGE signals death through JNK (R-HSA-193648)	59	0	.31	-	 < 0.01	1.00E00	1.00E00
Defective Mismatch Repair Associated With MLH1 (R-HSA-5545483)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Phosphorylation of Emi1 (R-HSA-176417)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Phosphorylation of the APC/C (R-HSA-176412)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Hyaluronan biosynthesis and export (R-HSA-2142850)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Synthesis of diphthamide-EEF2 (R-HSA-5358493)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Interleukin-33 signaling (R-HSA-9014843)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Downregulation of ERBB2 signaling (R-HSA-8863795)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
NR1D1 (REV-ERBA) represses gene expression (R-HSA-1368071)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
CRMPs in Sema3A signaling (R-HSA-399956)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion (R-HSA-399955)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Sema3A PAK dependent Axon repulsion (R-HSA-399954)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
