




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
Cul7-RING ubiquitin ligase complex (GO:0031467)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Cul5-RING ubiquitin ligase complex (GO:0031466)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Cul4B-RING E3 ubiquitin ligase complex (GO:0031465)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
Cul2-RING ubiquitin ligase complex (GO:0031462)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
MHC class II protein complex (GO:0042613)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
MHC class I protein complex (GO:0042612)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
MHC protein complex (GO:0042611)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT core complex (GO:0030015)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
CCR4-NOT complex (GO:0030014)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
serotonergic synapse (GO:0099154)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
centriolar subdistal appendage (GO:0120103)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
egg coat (GO:0035805)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
CURI complex (GO:0032545)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cortical endoplasmic reticulum (GO:0032541)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
SMN-Sm protein complex (GO:0034719)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
SMN-Gemin2 complex (GO:0034718)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pICln-Sm protein complex (GO:0034715)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
serotonin-activated cation-selective channel complex (GO:1904602)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAPP complex (GO:0030008)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic density membrane (GO:0099146)	58	0	.30	-	 < 0.01	1.00E00	1.00E00
anchored component of synaptic membrane (GO:0099144)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
methylosome (GO:0034709)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
methyltransferase complex (GO:0034708)	118	0	.62	-	 < 0.01	1.00E00	1.00E00
chloride channel complex (GO:0034707)	51	0	.27	-	 < 0.01	1.00E00	1.00E00
sodium channel complex (GO:0034706)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
calcium channel complex (GO:0034704)	67	0	.35	-	 < 0.01	1.00E00	1.00E00
short-chain collagen trimer (GO:0005598)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type XVI trimer (GO:0005597)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type XIV trimer (GO:0005596)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type XII trimer (GO:0005595)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type IX trimer (GO:0005594)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
FACIT collagen trimer (GO:0005593)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
collagen type XI trimer (GO:0005592)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen type VIII trimer (GO:0005591)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type VII trimer (GO:0005590)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum lumen (GO:0048237)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
GTPase activator complex (GO:1902773)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase complex (GO:1904949)	89	0	.47	-	 < 0.01	1.00E00	1.00E00
BRCA1-BARD1 complex (GO:0031436)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
recycling endosome membrane (GO:0055038)	85	0	.45	-	 < 0.01	1.00E00	1.00E00
Dbf4-dependent protein kinase complex (GO:0031431)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
recycling endosome (GO:0055037)	180	0	.94	-	 < 0.01	1.00E00	1.00E00
collagen type VI trimer (GO:0005589)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
plastid thylakoid membrane (GO:0055035)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type V trimer (GO:0005588)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen type IV trimer (GO:0005587)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
collagen type III trimer (GO:0005586)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chaperone complex (GO:0101031)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
collagen type II trimer (GO:0005585)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type I trimer (GO:0005584)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
fibrillar collagen trimer (GO:0005583)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
collagen type XV trimer (GO:0005582)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen trimer (GO:0005581)	91	0	.48	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription factor complex (GO:0090576)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP complex (GO:0031429)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
basal plasma membrane (GO:0009925)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNP complex (GO:0031428)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcription repressor complex (GO:0090571)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle membrane (GO:0070083)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle (GO:0070081)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	118	0	.62	-	 < 0.01	1.00E00	1.00E00
RecQ family helicase-topoisomerase III complex (GO:0031422)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cortical microtubule (GO:0055028)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane attack complex (GO:0005579)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
fibrinogen complex (GO:0005577)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Noc4p-Nop14p complex (GO:0030692)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Noc2p-Noc3p complex (GO:0030691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Noc1p-Noc2p complex (GO:0030690)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear transcriptional repressor complex (GO:0090568)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
NatC complex (GO:0031417)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
NatB complex (GO:0031416)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NatA complex (GO:0031415)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
N-terminal protein acetyltransferase complex (GO:0031414)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Noc complex (GO:0030689)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
preribosome, small subunit precursor (GO:0030688)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
preribosome, large subunit precursor (GO:0030687)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
90S preribosome (GO:0030686)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
NF-kappaB complex (GO:0071159)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
preribosome (GO:0030684)	82	0	.43	-	 < 0.01	1.00E00	1.00E00
multimeric ribonuclease P complex (GO:0030681)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
cytochrome complex (GO:0070069)	34	0	.18	-	 < 0.01	1.00E00	1.00E00
ficolin-1-rich granule membrane (GO:0101003)	61	0	.32	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribonuclease P complex (GO:0030678)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
T-tubule (GO:0030315)	52	0	.27	-	 < 0.01	1.00E00	1.00E00
ribonuclease P complex (GO:0030677)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
junctional membrane complex (GO:0030314)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
TEAD-2-YAP complex (GO:0071149)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
TEAD-1-YAP complex (GO:0071148)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
external encapsulating structure (GO:0030312)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
heteromeric SMAD protein complex (GO:0071144)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle membrane (GO:0030670)	76	0	.40	-	 < 0.01	1.00E00	1.00E00
dendritic filopodium (GO:1902737)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
SMAD protein complex (GO:0071141)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
tubulin complex (GO:0045298)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CHD-type complex (GO:0090545)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Flemming body (GO:0090543)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
mRNA editing complex (GO:0045293)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
box H/ACA scaRNP complex (GO:0072589)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNP complex (GO:0072588)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
clathrin-coated endocytic vesicle membrane (GO:0030669)	76	0	.40	-	 < 0.01	1.00E00	1.00E00
endocytic vesicle membrane (GO:0030666)	194	0	1.02	-	 < 0.01	6.30E-01	1.00E00
clathrin-coated vesicle membrane (GO:0030665)	113	0	.59	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle membrane (GO:0030663)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
coated vesicle membrane (GO:0030662)	180	0	.94	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle membrane (GO:0030660)	115	0	.60	-	 < 0.01	1.00E00	1.00E00
dendrite cytoplasm (GO:0032839)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
alpha9-beta1 integrin-ADAM8 complex (GO:0071133)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CERF complex (GO:0090537)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium ion-transporting ATPase complex (GO:0090534)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cation-transporting ATPase complex (GO:0090533)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
fumarate reductase complex (GO:0045283)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
synaptobrevin 2-SNAP-25-syntaxin-1a complex (GO:0070044)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase complex (GO:0045281)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoophidium (GO:0097268)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoplasmic reticulum (GO:0044195)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytolytic granule (GO:0044194)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
insulin receptor complex (GO:0005899)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor complex (GO:0005896)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
host cell mitochondrial envelope (GO:0044190)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor complex (GO:0005895)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-2 receptor complex (GO:0005893)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylcholine-gated channel complex (GO:0005892)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
voltage-gated calcium channel complex (GO:0005891)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
sodium:potassium-exchanging ATPase complex (GO:0005890)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
GABA-A receptor complex (GO:1902711)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex IV (GO:0045277)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
GABA receptor complex (GO:1902710)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex III (GO:0045275)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex II (GO:0045273)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex (GO:0070033)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex (GO:0070032)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex I (GO:0045271)	51	0	.27	-	 < 0.01	1.00E00	1.00E00
R2TP complex (GO:0097255)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription export complex 2 (GO:0070390)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
potassium:proton exchanging ATPase complex (GO:0005889)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endothelial microparticle (GO:0072563)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
blood microparticle (GO:0072562)	143	0	.75	-	 < 0.01	1.00E00	1.00E00
Arp2/3 protein complex (GO:0005885)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
actin filament (GO:0005884)	125	0	.65	-	 < 0.01	1.00E00	1.00E00
neurofilament (GO:0005883)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
amylin receptor complex 3 (GO:0150058)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
intermediate filament (GO:0005882)	226	0	1.18	-	 < 0.01	6.35E-01	1.00E00
amylin receptor complex 2 (GO:0150057)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
amylin receptor complex 1 (GO:0150056)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear microtubule (GO:0005880)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase, catalytic core (GO:0045267)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase, stator stalk (GO:0045265)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex, coupling factor F(o) (GO:0045263)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
dopaminergic synapse (GO:0098691)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex, catalytic core F(1) (GO:0045261)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
glycinergic synapse (GO:0098690)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
endosome to plasma membrane transport vesicle (GO:0070381)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
tubulobulbar complex (GO:0036284)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NLRP3 inflammasome complex (GO:0072559)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
NLRP1 inflammasome complex (GO:0072558)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
IPAF inflammasome complex (GO:0072557)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
axonemal microtubule (GO:0005879)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
microtubule associated complex (GO:0005875)	155	0	.81	-	 < 0.01	1.00E00	1.00E00
plus-end kinesin complex (GO:0005873)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
kinesin complex (GO:0005871)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
neuronal cell body membrane (GO:0032809)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle B (GO:0030992)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle A (GO:0030991)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle (GO:0030990)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
synaptic cleft (GO:0043083)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
DNA ligase IV complex (GO:0032807)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
carboxy-terminal domain protein kinase complex (GO:0032806)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex (GO:0045259)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
parallel fiber to Purkinje cell synapse (GO:0098688)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
chromosomal region (GO:0098687)	339	0	1.78	-	 < 0.01	4.27E-01	1.00E00
small ribosomal subunit (GO:0015935)	77	0	.40	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase complex (ubiquinone) (GO:0045257)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
hippocampal mossy fiber to CA3 synapse (GO:0098686)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
large ribosomal subunit (GO:0015934)	122	0	.64	-	 < 0.01	1.00E00	1.00E00
photoreceptor ribbon synapse (GO:0098684)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
periciliary membrane compartment (GO:1990075)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase complex (GO:0045254)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
cochlear hair cell ribbon synapse (GO:0098683)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase complex (GO:0045252)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
TRAPPIII protein complex (GO:1990072)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAPPII protein complex (GO:1990071)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
TRAPPI protein complex (GO:1990070)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm cytoplasmic droplet (GO:0097598)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
alveolar lamellar body membrane (GO:0097233)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
ER membrane protein complex (GO:0072546)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
lamellar body membrane (GO:0097232)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
dynactin complex (GO:0005869)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
host cell cytosol (GO:0044164)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic dynein complex (GO:0005868)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
Rb-E2F complex (GO:0035189)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
striated muscle thin filament (GO:0005865)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
striated muscle myosin thick filament (GO:0005863)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
muscle thin filament tropomyosin (GO:0005862)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
troponin complex (GO:0005861)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
integral component of cytoplasmic side of endoplasmic reticulum membrane (GO:0071458)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide receptor complex (GO:0046696)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
SLIK (SAGA-like) complex (GO:0046695)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
caveola neck (GO:0099400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic stress granule (GO:0010494)	66	0	.35	-	 < 0.01	1.00E00	1.00E00
cortical microtubule cytoskeleton (GO:0030981)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
germ cell nucleus (GO:0043073)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
intracellular canaliculus (GO:0046691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of neuronal dense core vesicle membrane (GO:0098675)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (GDP-forming) (GO:0045244)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
signal recognition particle (GO:0048500)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
sperm end piece (GO:0097229)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dihydrolipoyl dehydrogenase complex (GO:0045240)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
sperm principal piece (GO:0097228)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
sperm annulus (GO:0097227)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Cdc48p-Npl4p-Vms1p AAA ATPase complex (GO:0036266)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm midpiece (GO:0097225)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
viral integration complex (GO:0019035)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm connecting piece (GO:0097224)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
viral replication complex (GO:0019034)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-23 receptor complex (GO:0072536)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle myosin complex (GO:0005859)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
perineuronal net (GO:0072534)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
axonemal dynein complex (GO:0005858)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
nascent polypeptide-associated complex (GO:0005854)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation elongation factor 1 complex (GO:0005853)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex (GO:0005852)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2B complex (GO:0005851)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2 complex (GO:0005850)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
germ plasm (GO:0060293)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid cycle enzyme complex (GO:0045239)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
lateral cell cortex (GO:0097575)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral part of cell (GO:0097574)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage factor complex (GO:0005849)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage stimulating factor complex (GO:0005848)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear cap binding complex (GO:0005846)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA cap binding complex (GO:0005845)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
polysome (GO:0005844)	75	0	.39	-	 < 0.01	1.00E00	1.00E00
clathrin complex (GO:0071439)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex (GO:0030964)	51	0	.27	-	 < 0.01	1.00E00	1.00E00
invadopodium membrane (GO:0071438)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
invadopodium (GO:0071437)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
ribosome (GO:0005840)	245	0	1.28	-	 < 0.01	6.42E-01	1.00E00
apical distal dendrite (GO:0150014)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
LUBAC complex (GO:0071797)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
spindle matrix (GO:1990047)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type VII anchoring fibril (GO:0098652)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
basement membrane collagen trimer (GO:0098651)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
epidermal lamellar body (GO:0097209)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
alveolar lamellar body (GO:0097208)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
host cell viral assembly compartment (GO:0072517)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome core complex (GO:0005839)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA synthase complex (GO:0005836)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell cortex region (GO:0099738)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
heterotrimeric G-protein complex (GO:0005834)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
hemoglobin complex (GO:0005833)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
glutamyl-tRNA(Gln) amidotransferase complex (GO:0030956)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
chaperonin-containing T-complex (GO:0005832)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
enzyme activator complex (GO:0150005)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
distal dendrite (GO:0150002)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
primary dendrite (GO:0150001)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen anchoring fibril (GO:0098648)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen beaded filament (GO:0098647)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
RIC1-RGP1 guanyl-nucleotide exchange factor complex (GO:0034066)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Lewy body corona (GO:1990038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen sheet (GO:0098646)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen network (GO:0098645)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Lewy body core (GO:1990037)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
complex of collagen trimers (GO:0098644)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
banded collagen fibril (GO:0098643)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
network-forming collagen trimer (GO:0098642)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
parallel fiber (GO:1990032)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3M complex (GO:1990393)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
FHF complex (GO:0070695)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
pinceau fiber (GO:1990031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
molybdopterin synthase complex (GO:0019008)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
pericellular basket (GO:1990030)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA repair complex (GO:1990391)	40	0	.21	-	 < 0.01	1.00E00	1.00E00
SCF ubiquitin ligase complex (GO:0019005)	66	0	.35	-	 < 0.01	1.00E00	1.00E00
terminal cisterna lumen (GO:0014804)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
terminal cisterna (GO:0014802)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
longitudinal sarcoplasmic reticulum (GO:0014801)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
kinetochore microtubule (GO:0005828)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
polar microtubule (GO:0005827)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
transcriptional preinitiation complex (GO:0097550)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
exon-exon junction complex (GO:0035145)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
anchored component of plasma membrane (GO:0046658)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
costamere (GO:0043034)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
isoamylase complex (GO:0043033)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell tip (GO:0051286)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
